61726	Phúc Kiến
1521129	Cát Trù, Cẩm Khê
330675	Bộ Hộ
531829	565
1523304	Nam Ninh, Cát Tiên
2838	Cân
793772ddfae2c9f3baa036c64043965e	Commander of the Order of the British Empire
64363	Angkor Thom
da686e0004e719702e4ff70755f367ad	Armenian alphabet
421591	Khu dự trữ sinh quyển miền tây Nghệ An
68fbaf1d96870f71de40647c4c4caaa0	1123 TCN
7f6fabe6b683c70e407d15c82b643094	Animal sacrifice
20278	14 tháng 5
1244403	Hòa Bình, Hưng Hà
161897	Hứa Thận
540909	40
578371	Thập niên 1280
6319	Baltica
292114	Khu dự trữ sinh quyển châu thổ sông Hồng
1c082ce82d15291fb360013833bab0f1	Altai Uriankhai
511747fbfaece93a19f562937381dc5a	Chân Định
93068d9aba4036af5d9d8a7e56d67f06	Alfred François Bazin
542954	192 TCN
20587	18 tháng 10
242461	Các dân tộc Tungus
122567	Quảng trường Đông Kinh Nghĩa Thục
176044	Chiến tranh Genpei
32542	Chi Mướp
6d53acaa46338ca5cf49864dbfc22249	Bantu
529588	1570
20574	10 tháng 10
0b7c3664a92b486d83c738079c35e71e	Làng Hoàng Mai
532194	400
530243	1070
889	19 tháng 3
396798	Chuyên Húc
253946	Chùa Dận
362598	Hạ chí
32586	Bão nhiệt đới
62746	Andes
15366	Hồ Thiền Quang
14784	BoA
44365	Dự án
3281658	Ahn Jae Wook
20279	15 tháng 5
560587	Hoàng Nam, Nghĩa Hưng
328251	Cừu nhà
4769	Ninh Bình
529891	1229
1c882809548a85d8c4eb02d28a6d4afb	Ký tự thay thế
0a463d75980f76e6ec194a8c1ecd9be7	Biển số xe Trung Quốc
10746	Người Chứt
1242672	Bích Hòa
1242424	Bàn Đạt
63469	1991
7628	Châu Nam Cực
3298118	Nguyễn Khoái
937974	Kim Mạt Đế
16934	Ankan
7b632b7693009bcacee2b8e3434e678e	A1 volleyball league (Portugal)
4998246	Ban Bí thư Trung ương Đảng Cộng sản Việt Nam
495637	Phường (hành chính)
725487	Nạp Lan Tính Đức
26441	Anime
529896	1234
107819	1911
578373	Thập niên 1260
44075	Cách mạng công nghiệp
1265298	An Dương Vương (định hướng)
16ff96c7f1e56fe5caf9896c18dc2902	Gia Luật Truật Liệt
55924	Quốc Oai
530407	1440
234122	Lê Chiêu Thống
87749	Trần Nghệ Tông
62757	Nho gia
931868	.中國
54506	Thiều Chửu
68123	Thái Tổ
9661ae5bad400ea0db7d66c23c11b4a3	Alexander's kusimanse
130795	Khoái Châu
37917	Cầu (giao thông)
201785	1780
541034	625
101490	Từ Liêm
528898	1739
a5ff329d23b4632fb38994d3408cc119	BBC Online
c0dd0b7dea721bc724b98e7b536bb99a	Đại bão tuyết 1993
827910	Pháp thuộc
d0e4edb5de66d049fea6407c4e191cc0	Al Aman
1524855	Tiến Đức, Hưng Hà
529555	1594
529254	1639
530248	1066
2326137	Báo Hà Nội Mới
530104	1146
540761	189
20064	1 tháng 1
42742	Australasia
ba5f404f4f8c4daeb2469e1777903f09	Giao điểm
27306	Tân Mùi
86647	974
8d05ac7140876f1512f27907f13fa8fd	Arnold Henry Guyot
a6dd8ee4e7f49c8596d408a0dc188123	Loạn họ Nùng
666094	Pháp luật thời Lý
515d0e1773616f9e961784492bead6a3	Bút mực
06ed148d4e6fd5a308e2cddd8878e6b0	Système universitaire de documentation
107650	Bình Dao
83095	Họ Khúc (lịch sử Việt Nam)
3e8aa0b0bee06966de17244f983c33a1	Cục Kinh tế và các Vấn đề Xã hội Liên hiệp quốc
1536563	2018
531301	663
2453788	Cách mạng Dân chủ Mông Cổ 1990
237450	Hồng (họ)
4997	Nhà Nguyễn
525854	Cicero
392145	1821
817026	Barga
531834	570
80901	Hỏa Lò
531341	604
9bb6a1d9a4b50f52114538d4f4bc9c8b	Chính phủ liên hiệp Việt Nam lâm thời
1745925	Chu Á Phu
27356	Đinh Tỵ
3375487	Mai Am công chúa
56552	Ngũ Tử Tư
529966	1297
81809	Diễn Châu (phủ)
734	Thăng Long
3527013	Thiên hoàng Fushimi
f047ac08a4d564b2b57efafff2eebcb6	Niên hiệu Anh
d795e735f3033e38be59c25275603f48	Bờ
107943	1959
9d8039aaaf7ce8d8370b88e0d0384918	589 TCN
530090	1134
529864	1522
20897	Thể loại:Mất 1250
4489	Côn Đảo
7a9773290d9dbb41997a292a59e9fd79	Alkloid tropane
20367	29 tháng 6
529942	1278
2cbceb9ddf49389dbca4d6846c9fa9fe	Biên mục trong thư viện
7b992de3920b06fdb26396a740b53c7b	Châu Thanh Hóa
340334	Chiến dịch giải phóng Nghệ An
529998	1216
109637	Bưởi
201436	1872
82575	Minh Tuyên Tông
530011	1192
6033	Báo sư tử
2418115	Đỗ An Di
a99ff04c97b57cd6a9d2c0e80936c819	Austin Herbert Woolrych
801987	Danh xưng
1244140	Hà Châu, Hà Trung
b45b5c2cc62dcf2356e8c25c1da5a075	Bulbul
92761	Lý Huệ Tông
3690627	(225088) 2007 OR10
486098	Di tích Việt Nam
275763	Bảo tàng Hồ Chí Minh
81383	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá I
3638475	An Lạc
16216	A-hàm kinh
62086	Lý Long Tường
529967	1298
966	9 tháng 4
530500	1490
3540445	Thiên hoàng Go-Murakami
529304	1653
14544	Châu Á
1446707	An Thái (định hướng)
961	Bách khoa toàn thư
822353	Arvaikheer
24122	Kinh điển Phật giáo
540946	22
af8b6b893c4360dcb57d45ca90505995	1300 TCN
63178	Khammuane
9309	Đại Việt Sử ký Toàn thư
529346	1682
3229840	Cá trôi
2434667	Kem Tràng Tiền
462937	Bà Chúa Kho (Hà Nội)
33848	Lý Bí
2362753	Quốc ngữ
20501	6 tháng 9
126786f310970d81fed1da3cd8edd21e	Aban
9897a3964aea946428144723a79bc3d5	Roger III của Sicilia
34834	Chúa Trịnh
528930	1764
392150	1824
99233	Anh Đức
530034	1181
530037	1185
15811	Đông Á
20085	13 tháng 1
9637	Florida
cc20326f7d7239078c2ef77ea296445c	699 TCN
420188	Bình Nguyên Quân
242753	Anguilla japonica
20693	20 tháng 12
55516	Bán đảo Mã Lai
de6da838c1cbda818d0bf3b1ca55d8d9	01 Tháng 1
530700	951
71e719ca95dd4090b6168ab0b98eeb9c	Châu Thái Nguyên
299524	1823
63325	1996
1287	Chiến tranh Đông Dương
8eead67ec1b7cf6f391677b1c18031cd	Trần Quốc Trinh
18603	Mùa hạ
19042	Khu di tích Phủ Chủ tịch
530058	1166
114ab6184a6a341fd72a9f2458be6141	Ba Mĩ Thuế
821873	Bayan-Ölgii (tỉnh)
87433	Diễn đàn trực tuyến
529166	1533
392231	1865
86515	Bố Trạch
4db035a65d55d1e020a6a625cfa8ea2a	Hoàng Thành
8777	A-la-hán
120182	Danh từ
11352	Thị trấn (Việt Nam)
831463	Bảo Lý, Phú Bình
b5eca6aa1b16de364ab97dbd3cce0888	Văn Uyên Các
516e1a315303c5e8cc84384b5bfb0d3e	Dạ Lang
813994	Giác Hải
24127	Hiệu ứng Coriolis
3701770	Lê Trọng Thứ
63229	An Huy
529391	1663
313246	Nguyễn Chế Nghĩa
66843	Hướng Đông Bắc
38903d34ce329db453712e33103d4cbb	Trần Tự Hấp
5212	Bạc
108421	Bình Lỗ
ee39db14eb4d77f93678de3a93827550	Thuyết văn giải tự
1242091	A Roàng
371826	Chiến tranh Đại Ngu - Minh
cf7c8355208779fe02b13c8579b380f1	Airy-0
9501c675371a2bc20a6a38b690487d6e	Lý Nghĩa Lâm
392242	1873
20523	16 tháng 9
59685	An Nhơn
475832	Giải vô địch bóng chuyền Việt Nam
530081	1150
107815	1907
0592326123e84f3c3802a09c4826d0fd	Trần Huệ Nghĩa
7300	Mặt phẳng quỹ đạo
80d61fa1fbbd4052ddd90806f5d9373b	Chùa Hương Nghiêm
201759	1775
3151288	Bede
1750856	Charles Hermite
31810	Lịch sử Trung Quốc
244626	Thanh Trì (phường)
60635e5e2f310ac2fa0bbe078f9c0881	Amy Tan
529955	1290
21943	Adelaide
2360269	246 TCN
b9d186437e5fdfd7753e379673035c65	Bulgan, Arkhangai
1510163	Trương Hoằng Phạm
531755	503
dc5b2182262b2e6624d17de57c80420f	Alexander MacKenzie
757714	Alexander Ypsilantis (1792–1828)
57358	Hùng Vương
20159	17 tháng 2
20659	4 tháng 12
822031	Chân Lý, Lý Nhân
1742855	Khu di tích nhà Trần ở Đông Triều
529956	1291
24567	Chùa Quán Sứ
1251650	Phú Thạnh, Nhơn Trạch
746acb6d23d21b66d3a8dca6cc7113f6	Australian Bureau of Statistics
fb9bcbdd060d1f5f3ded6d32fda49d95	Art Attack
20695	21 tháng 12
9393f4aa57471b3d91633424e20889d0	Bọ ngựa trong biểu tượng văn hóa
540769	182
da78565e332e85f09988cf2ace809ce9	Al-Ain
3729	Mặt Trời
38754	Lenin
129809	An Lão
1752830	Bánh gai Tứ Trụ
63474	1989
3214890	Hà Bổng
3138251	700 TCN
3274900	Carl von Linné
475920	Kha (họ)
530245	1068
73ee3d6753211fd7278878a51c7c3556	Kalan
472507	Anh hùng Lao động
1242750	Bình Minh, Khoái Châu
103894	Bành Kỷ
1523736	An Trạch
8c2411c08aa7f1f1fccbd7008dc5714a	Bến Chương Dương
578382	Thập niên 1190
531818	550
1465102	Bàn Đức Vinh
821876	Dornod (tỉnh)
16237	Aristoteles
291875	Abu Bakr
700510	Tào Hoán
101978	Bích Động
193642	Andorra la Vella
e6664ea79b0f66d76b22fa49fce81e93	Bản kỷ
528909	1744
227754	Carolus Linnaeus
35415	Nhà Mạc
36707	Thái Bình (thành phố)
3242709	Latinh
1181045	Bánh cốm
2393281	Art Institute of Chicago
514468	1272
ee14fe0646371ddd3df30a30616de9b0	"Xe chưa qua, nhà không tiếc"
121569	Nguyễn Nộn
530690	941
119478	Chiến tranh Nga-Nhật
6248	Văn hóa Việt Nam
312424	San Severo
1221629	Aksai Chin
530268	2011
530049	1171
530300	1016
844426	Hán Chiêu Liệt Đế
3bc35d276e0bcfe42e8a74be66bf60ef	Nguyễn Nhữ Soạn
107042	Huyện (Trung Quốc)
529393	1661
42197	Đại La
3347505	2030
8ec9fea648ab496d531bc8b1f5d43595	2 Fast 2 Furious
7448012	Be (Kirin)
