Việt_Nam	1306
Pagerank	Title
0.004	.ac
0.004	.af
0.004	.ag
0.004	.ad
0.004	.ae
0.004	.ax
0.004	.aw
0.004	.au
0.004	.az
0.004	.bb
0.004	.ba
0.004	.ao
0.004	.aq
0.004	.an
0.004	.am
0.004	.ar
0.004	.as
0.004	.ai
0.004	.al
0.004	.at
0.0039	.bd
0.0025	Danh sách thập niên
0.0021	Dương lịch Thái
0.0021	Ab urbe condita
0.002	Can Chi
0.002	Lịch Armenia
0.0019	Kali Yuga
0.0019	Lịch Bahá'í
0.0019	Lịch Assyria
0.0018	Lịch Bengal
0.0017	10 tháng 1
0.0017	Lịch Berber
0.0017	Thiên niên kỷ
0.0016	12 tháng 1
0.0015	10 tháng 10
0.0015	10 tháng 5
0.0015	Thiên niên kỷ 1 TCN
0.0015	1940
0.0015	Năm
0.0015	11 tháng 5
0.0015	Thế kỷ
0.0015	11 tháng 1
0.0015	Lịch Bắc Triều Tiên
0.0014	13 tháng 1
0.0014	14 tháng 1
0.0014	George III của Liên hiệp Anh và Ireland
0.0014	16 tháng 5
0.0014	10 tháng 3
0.0013	13 tháng 5
0.0013	Lịch Copt
0.0013	12 tháng 11
0.0013	14 tháng 5
0.0013	15 tháng 1
0.0013	11 tháng 11
0.0013	12 tháng 5
0.0012	10 tháng 8
0.0012	10 tháng 2
0.0012	11 tháng 2
0.0012	17 tháng 1
0.0012	Thế kỷ 2 TCN
0.0012	Lịch Julius
0.0012	14 tháng 11
0.0012	12 tháng 2
0.0012	17 tháng 5
0.0012	12 tháng 4
0.0012	14 tháng 3
0.0012	1930
0.0012	16 tháng 1
0.0012	13 tháng 3
0.0012	15 tháng 5
0.0011	10 tháng 7
0.0011	Nô lệ
0.0011	1945
0.0011	1960
0.0011	11 tháng 10
0.0011	10 tháng 11
0.0011	Thế kỷ 1 TCN
0.0011	12 tháng 10
0.0011	12 tháng 3
0.0011	12 tháng 6
0.0011	10 tháng 12
0.0011	13 tháng 10
0.0011	14 tháng 10
0.0011	11 tháng 6
0.0011	10 tháng 9
0.0011	13 tháng 2
0.0011	1813
0.0011	11 tháng 3
0.0011	12 tháng 12
0.0011	10 tháng 6
0.0011	1964
0.0011	Thế kỷ 3 TCN
