df69b432145cf003be7cce77cafd4d22	Phong cảnh
1519217	Curitiba (định hướng)
792048	Puebla (thành phố)
71531	Lyon
187965	Chiến dịch Bắc Tây Nguyên 1972
1580945	Bộ Tổng tham mưu Liên quân Hoa Kỳ
b983c9206387a7556748ae3d91d51d8a	Charles Taylor (triết gia)
818958	Hương Thủy
257a28de6418e3fc41aa6e2ad0418fae	Cuộc chiến tranh Mexico và Hoa Kỳ
2365670	Camellia aurea
218979	Quân chủng
147007	Sisowath của Campuchia
529972a86108aa808babcd28a0405e3d	Assis (São Paulo)
814834	Benicasim
400238	Các tiểu bang Trung Đông Bắc
1615011	Cuộc vây hãm Bitche
285655	Nam Minh
8848d276bf245bcfb81717987aac159d	Chautauqua
1296702	Cá hồi Coho
1244353	Hiệp Sơn
63046	Giáo dục trực tuyến
127646	ANZUS
2201386	Operetta
2841d69bea22c2f2e9b3f8538bd2873d	Miligam
31133	Chuyển tự tiếng Nga sang ký tự Latinh
530502	1492
797405	Tijuana
42dc814170d05661f313392a6fbea97a	Chung kết FIFA Club World Cup 2006
2399473	Dendrosenecio
3633807	Huyện cấp thị
503615	Bình Hòa Hưng
325999	Chi Vân sam
1476371	Danh sách hiệu kỳ tại Đức
2fa383a2f514771334d70dfacbe62582	Austrotriconodon
3391959	Hệ phái Sunni
4e78e89500169681effba06ab47cce83	ITU G.992.1 Annex A
530127	1127
2218937	Carthage
344032	Chiến tranh Nguyên Mông-Đại Việt lần 1
1405804	Anaxagoras
3165970	Colchis
167bdf36d5cf1bd0a9a003e299b3ae25	Norman Browse
cb29d32d2b69a6a88e8878055511d44b	Astrophysical Journal
c65aa372fa1af262d6e7dc6c334b7a9c	Chính sách sức khỏe
beb716915cfd8c083564179031d32fe4	Charles Hutton
32dde6d0af7d83831d5a83c6f4ab2187	American Civil War
7443355	Khoáng chất
135298	Đi tìm thời gian đã mất
78ab877cf98ed39cf7da2a0c1568dcbe	Iron gall ink
f739166382a4a9d43ed860e1e89ac497	Bach-Archiv Leipzig
866465	Bissau
77391	Aichi
b8cf218e298f2d906b34bb3d1baba57f	Berner Laufhund
05a72bd66bf9aa193aae97ac7201a826	Chủ nghĩa Nhân bản thế tục
561205	Galway
3677356	Chế độ nô lệ
06df25d5c4eee9469586790538e3480f	Carlo Schmid (German politician)
fa4675e24c1018c6919eb447bee01224	Federal Register
66b8541aee84e0e7045bf62f994c2946	Barry Levinson
462058	Chiswick
587972	Cao Ly Trung Liệt Vương
102853	Brussels
8b819b6069c65be43718c82d836735aa	James Russell Lowell
16310	Biển Marmara
4669	Bắc Ninh
ec4e0393342a769d880e8b30510852e5	Các hành tinh trong thiên văn học
3546549	Country code top-level domain
802829	P'yŏngan Bắc
ebbdac85f51ffca764db8e78a6e03a88	Kakitsu
3240361	Bartolomeo Cristofori
214555	Ngô Lợi
d65389d54824d50eb35381b1921c6f82	Ban liên lạc đối ngoại Trung ương
242398	Chiến tranh Mậu Thìn
20256	2 tháng 5
e68c0f848c9e6b3ebe65f5c1e444cca5	Assad Abdul Ghani
320419	Aurangzeb
5cff843014838822f001284e09936201	HMS Discovery
514357	La Thành Tây Đô
52232	Genova
781835	Giờ mùa Hè Trung Âu
0d287a0769239364b92148f316d57c24	Danh sách núi
c9772b244cd4cd30ce9f8ef9eb78a1d8	Economist
1252929	Thạch Sơn, Thạch Hà
674a90a2cebdb0089fe92ce49c043999	Hoàng Kim Trảo
413425	Buchenbach
3663411	Atef Ebeid
57666	Thế kỷ 2
529751	1332
579a265fe6752975633722127cf49520	Chính phủ Hồng Kông
801122	Carlos Montezuma
2439413	Frederick Townsend Ward
53735	Thể loại:Sinh thập kỷ 1590
9bbbe34e0726b272671d70de5f4a6fc5	Al Muthanna
137480	Múi giờ miền Đông (Bắc Mỹ)
2eae050def9ba21b262ef14ba657f8cc	Danh sách trường phái triết học
15539cec7e148136349d081d734395a3	Arkansas River
e33392b9296e0960986371e61218c295	Tên hiệu hãng hàng không
20149	12 tháng 2
164664	Diêm Điền, Thái Thụy
353165	Ballet
be454375acc7c5fa76c3b22f4a2998c5	Mạch Dương cược
446797	Giáo hoàng Anastasiô II
2105a5682e6076c76f9ad7748b38eb5c	Chính Hồng kì
fc501659c89c4f00322936c09b451307	Phục hưng Bengal
7871bd340165ddc9d2b956ea688f5016	A Khắc Đôn
3c621d6f4811150ac935f36a13b78c56	Colorado Plateau
3139250	Bernardino Rivadavia
32424	Ma Cao
11079264	International Statistical Classification of Diseases and Related Health Problems
772472	Các lãnh thổ của Hoa Kỳ
4a78d571e7e5f149601b7aceab7c18d8	Imperial Abbey
f41f69b3b4bfe0e70f2db7924fe8f9fd	Edmund White
872470bdc4818af132efdafa85e74d9e	Books of Chronicles
8cec89af64aab50080e1a50fee715c13	Chẩn đoán y học
3432530	Chế độ nhân tài
1264318	Anh em kết nghĩa
16124	Cầu vồng
172814	Dêqên
8e519465f06d3b638dc8ce95d0edcd81	Chùa Dược Sư
f4ab78dde0a86301a23c259e4a7f37b6	Beatrice và Bénédict
f5d90b13ca30683c5e5b19499744521b	31 tháng ba
3268159	Liên Chiểu, Đà Nẵng
3353765	2090
292260	Lê Văn Hưng (tướng Tây Sơn)
20629	9 tháng 11
4c1bffa073d5ec5357346530075e206e	Handan Sultana
182782	Lịch sử Iran
e52ea76294b9e1649ebcebdb347688e0	Cucamonga Valley
9c7117abc0fc8f57d9b30565dfb0ea6d	David Pingree
56469	Công đoàn
39589	Kazakhstan
24917db15c4e37e421866448c9ab23d8	2150
46840	Người
2398168	Thành Đế
b0006e4b4acae647b5a3cdb298a2b5d1	William Codrington (1715–1790)
13883	H5N1
99cdba3e4bd9f4c2c8b88b58a1b2dcb7	Andrea Camilleri
529778	1346
95023	All Nippon Airways
8299d01655431f9e934271edca8df66f	Comparison of layout engines (Scalable Vector Graphics)
578645	Giao hưởng số 5 (Beethoven)
f3808077edbd826681833e35e01d3421	Lâm Duy Thiếp
40ff3b07af922caf1b220c41f381cfd3	Bir-Mourad-Raïs
2cdbd94a3cbf629af313149080544916	Trương Hoàng Ngôn
d9041b4ef73d91264b80f1afd24b0572	Chữ Idu
5ea137346c7c518cbcce50dcc48f7a72	Civil war in Tajikistan
3309889	Tiếng Triều Tiên
530454	1476
1133370	Gabriele d'Annunzio
43651	Chữ ký số
265523	Aviatico
1da6d0b835ccf17dc008495266cc00a9	ISO 3166-2:PT
403649	Biển Alboran
2a6533d57653a1bf9f7371a670ae9f29	Palgrave Macmillan
e8ae3c7cbfbdad54b4e3ddf55dcd26a7	Beno Blachut
20065	2 tháng 1
194894	George Frideric Handel
1503131	Cẩm Châu
271b6cb96491b051a1aff587b13be959	Siêu trơn
0653efa3cf4318245fbbcc2c427a0acc	Thể loại:Sinh thập kỷ 120 TCN
0b11bb1d6c6b7f0d89db2a70e794675f	Chùa Long Hưng
c3a768c41ae56a1af1cc7ef7fa59ae8d	Dinocephalia
f18d198f0326b384f54d25cbb96efdd8	Thể loại:Sinh năm 1862
1558758	Hồ Đắc Điềm
49681	Mãn Thanh
820519	Beit Shemesh
2452938	Chi Ban
778da9edd580aa1e747688a05deeafc7	Phán xét cuối cùng
687e4f3a9c1e5ab90f6e94dc5d3cb90d	Ferdinand I
1251854	Phương Công
712fbf0cb0a408f0f3089dbdd2b7ff5b	Amr ibn al-As
1262559	Appennini
25662	Súng
40684	Jimmy Wales
1243506	Diễn Hoàng
529335	1674
115246	Walt Whitman
821778	Gaeta
99c85eeae34ada70d196532c27a4c5b4	Nhà phê bình
aa90e450cb1a0703f77ae998f193d58a	Limburg an der Lahn
1de2edbaa430975d339565684aeb0692	Ramón Freire
b281af220120bfc844b12e2ca115c647	Einar Már Guðmundsson
107949	1966
2416766	Chó săn
918b4e3fbfdb2540db1b9e6c32f14de2	Thể loại:Thành lập thập kỷ 1310
e81cd3e0c963889cd8300aadb06bd2ff	Benedetto Croce
ed9003f74b71174c34908c16f67813b2	Aphrodite Terra
f87457610293edbd8660be012adbd463	Khoảng cách toàn vòng tròn
183779	James I của Anh
107093	1941
de20f334e91f1ef5e515bb250858734a	Avatar 2
3684318	Chế độ tài phiệt
2e0e7bc5e15efffd1f66393009580c88	Ang Sor
71089	Haute-Savoie
20355	23 tháng 6
a0208d61b8f0969f72f1b7cf984b9b65	Kelsey Museum of Archaeology
7ab11174d4bbb06a3e7e08fdc3e29586	CR Vasco da Gama
530237	1076
2ba4b14896442f149b55c526e823ce55	A Moveable Feast
f1cdae0a38171ab516f13cae29fe9b53	Chữ 'Phags-pa
27216	Bà Triệu
8795631cdf71b81c7db76eb7d900ab32	Mecklenburgische Schweiz
2444465	G.W.F. Hegel
801923	Thomas Kuhn
53733	Thể loại:Sinh thập kỷ 1580
b459c7fa1655761df46eedfbc4b63cf9	Asianovela
3391960	Hệ phái Shia
4a741b24f1a1a2ed0f43462a52d7d7b9	Irrfan Khan
1585785	Columbia, Pennsylvania
3284411	Hiển Từ Thuận Thiên hoàng hậu
528389	1707
a4d507c39c1e9ad21b7ab6ad9ae99d52	Công quốc Brunswick
1ab2d87a327da9590b85b587e4e94b49	Khử (hóa học)
78ef1803096696b08b410fffc208c61c	Cedi Ghana
1680480	Sách Giảng Viên
7757aca2fbeaa546b797fa4d8f1e600f	Campuchea
893433	Chiến dịch tấn công Gorlice–Tarnów
c495480633846f5cd2f3b77eff0e768b	Chuỗi hypergeometric
e1fd7ab2f31fb86639f50d339d549cc5	Dân đảo Thái Bình Dương
116204	Thu nhập (định hướng)
14911	Bắc Giang (thành phố)
811421	Campo Grande
42049	Eo biển Malacca
a29c396cd008d44c307b4239861ee3d9	International Standard Name Identifier
1599648	Lẽ Thông Thường
458060a881111252bf266537a25b119d	Hans Vaihinger
28847	Cục Điều tra Liên bang
231810	1830
255574	Huyền Vũ
ce22cb7fe623ff248f8c6267f0765b68	Biển Cortez
250fa596b74b6c0e44dc4da14a9fbb91	Châu thổ sông Okavango
d854bffd871092700c00d4675b0909be	Propuesta Republicana
3465	Trịnh Công Sơn
582480	Bolikhamxai
366733	Horst aan de Maas
1406140	Quần đảo Eo Biển
801403	Bình Thành, Lấp Vò
5c6fbfc856a4dd75cd134b640868d12e	Danh cách
3284624	Khớp
806984	Toshkent (tỉnh)
f7c3f5b464ae41ab473b8679dde11d86	Thể loại:Mất năm 1839
f1effe3b51d392841b0b04f4ae32e3f7	Bài giảng đạo Vĩnh biệt
20189	2 tháng 3
1253412	Thượng Lộc
574429	Centennial, Colorado
0ea32e3a8db57e0bfdb0871c6f30fd64	La Malinche
529176	1541
f551a164853823e280cc90fde0887c3b	Biografisch Portaal
c3cb3892ac6d4b492156e15160d1321e	Gary Locke
228852	Hoàng đế Pháp
2339671	Dầu
24814a33272e59a978f500ae27ebe526	Angola tại Thế vận hội Mùa hè 2004
728619651cfc8d59ee83770ccef1a6a4	Chu Do Trâu
799dded2ee7d99894a2a517d8a9ad30c	Lịch Bengal
83758	Nguyễn Huỳnh Đức
982107	Mungyeong
1478268	Almada
64b8fed26be8c01bf77f68114c0550c1	Phương diện quân 1 (Đế quốc Nhật Bản)
250787	Biển Bali
7320	Chiến dịch Điện Biên Phủ
213772	Giao Khẩu
678	F
8defc1eb6a7727aa96ef3af9c7d123dc	Chichester
44244	Bao Công
7609450	Thời kỳ Cổ đại
24bd7d71f31c5c8d448e3c54fce37c23	David Magee
053c37696901b6f44a25b7f7973b374e	Chính trị Angola
129137	Netherlands Antilles
238414	Bỉm Sơn
8477	Thủy ngân
346770	Limburg-Weilburg
105026d9cc705099a822d32c8c300cea	Lịch sử những cuộc chiến tranh Nga-Thổ Nhĩ Kỳ
1340244	Anubis
81a83e3ca849ba9486ac882026ad3efe	Nhỏ hơn
e2de73523585fc14cef3cc19be50b984	Bona Dea
97cfb0edd25626217eb4d740cebd7d7c	Albert Einstein trong văn hóa đại chúng
2910263bac4013a2105d0ab489dc7c21	Betsy Blair
553806	Akhmed Zakayev
321796	Bộ Tài chính Việt Nam
109897	Cù Châu
7a2b1ce8d3ee60b02c0ffa1f9dd07d3a	Can đảm
855d9e4a3e3686ea1cdff99432d6b5a3	Arrow (symbol)
798259	Lâm Sảng Văn
1279552	Thập niên 180
102835	Budapest
75ad58606afac81ef7bf7da23e307f98	Diễn đàn Liên bang
210021	Hải Châu, Phụ Tân
e93195db7cc86ef17888b1821e05b390	Dziesięciny II
209297	Dãy núi Trường Bạch
6dc049d88de6c528cc1656934a976813	Học tập công nghiệp ở Đại Khánh
adceef6c87dbe1a51507c6c046152356	Doanh nghiệp hợp danh
