ead64131dd0c6578fe848645bdd65aac	Lịch Đông La Mã
20337	15 tháng 6
3904	Alexandre Yersin
7460176	Hómēros
528455	1703
63474	1989
20406	18 tháng 7
529327	1699
1529	Trung Quốc
e9d630582d104f90eb83f48568d6ac32	Chiến tranh cách mạng Mỹ
477926	Andrew Marvell
590203	James II của Anh
20123	1 tháng 2
530502	1492
392152	1825
528597	1700
234122	Lê Chiêu Thống
9a732af274510dd6ad0a438a5cfc16b6	Cochrane, Ontario
37121	Sudan
27333	Giáp Ngọ
20116	28 tháng 1
66612	Burma
20267	8 tháng 5
9de5ebe82a096906cb783879d9dd145e	Lịch Attica
9911ed596b95ed25ffba99d11557e8ab	Chú hổ Tony
392245	1874
20094	17 tháng 1
3833103abe12f1f483bc9711920fd5b7	Bắc Rhine-Westphalia
983	16 tháng 4
3349641	2113
3677356	Chế độ nô lệ
528918	1752
44394	Châu Úc
c15495f8f3010cffd34ac84a22727d39	Arthur, Prince of Wales
39567	Thổ Nhĩ Kỳ
81a27ac9f3cbe29d7041db29fc62b706	Charles Hatchett
3504149	Celt
20648	29 tháng 11
151108	Lê Anh Tông
20367	29 tháng 6
ff1fe165c32e9ec7f59e07d158914dfb	Năm thường bắt đầu vào thứ Năm
4730a488f2a4dd8467083179e2bff153	Keichō
78838fc1a656dc1a5117c757389afd34	Ba Xắc
242398	Chiến tranh Mậu Thìn
20634	11 tháng 11
17598	14 tháng 11
38762	Azerbaijan
5cff843014838822f001284e09936201	HMS Discovery
107924	1938
107886	1915
1765025	Nhà khoa học
1750311	Buddy Holly
388013	1841
814510	OCLC
ea653680833d1850a672841a2d8c97b8	Yahrzeits
531980	Mã Tân Di
58889	Thái Thụy
3689677b46cdda7aeb207de7c041f9e3	Ban Công tác Mặt trận cấp Thôn (Việt Nam)
64195	Đế quốc thực dân Pháp
15247	Bảo Đại
801122	Carlos Montezuma
2171	Hải Dương
183314	Mecca
33	Thụy Điển
402379	Bộ Quốc phòng Hoa Kỳ
106569	Các Bộ Hành chính Liên bang Hoa Kỳ
20621	5 tháng 11
20149	12 tháng 2
62568	Trịnh Giang
308356	Hòa ước Giáp Thân
