1519217	Curitiba (định hướng)
792048	Puebla (thành phố)
71531	Lyon
187965	Chiến dịch Bắc Tây Nguyên 1972
1580945	Bộ Tổng tham mưu Liên quân Hoa Kỳ
797343	Cảm
0144e4a0fb598d8b56dc4bdf2c8e7350	Cá voi đầu xám
218979	Quân chủng
285655	Nam Minh
db9ae82758aeea8d5561a1db38ed7024	Cecrops II
1244353	Hiệp Sơn
63046	Giáo dục trực tuyến
127646	ANZUS
31133	Chuyển tự tiếng Nga sang ký tự Latinh
530502	1492
39589	Kazakhstan
42dc814170d05661f313392a6fbea97a	Chung kết FIFA Club World Cup 2006
565451	Chu thư
333451	Billboard (magazine)
530127	1127
2218937	Carthage
344032	Chiến tranh Nguyên Mông-Đại Việt lần 1
1405804	Anaxagoras
3165970	Colchis
beb716915cfd8c083564179031d32fe4	Charles Hutton
24814a33272e59a978f500ae27ebe526	Angola tại Thế vận hội Mùa hè 2004
8defc1eb6a7727aa96ef3af9c7d123dc	Chichester
f739166382a4a9d43ed860e1e89ac497	Bach-Archiv Leipzig
77391	Aichi
b8cf218e298f2d906b34bb3d1baba57f	Berner Laufhund
05a72bd66bf9aa193aae97ac7201a826	Chủ nghĩa Nhân bản thế tục
fa4675e24c1018c6919eb447bee01224	Federal Register
66b8541aee84e0e7045bf62f994c2946	Barry Levinson
587972	Cao Ly Trung Liệt Vương
61276	Tôm
ec4e0393342a769d880e8b30510852e5	Các hành tinh trong thiên văn học
802829	P'yŏngan Bắc
816eac027e427dda1286c09ebfac51af	Christine Citti
3240361	Bartolomeo Cristofori
8fd4344e46de535834957935eb9c00fa	Harvard College
214555	Ngô Lợi
242398	Chiến tranh Mậu Thìn
11764159	Huỳnh Hải Băng
320419	Aurangzeb
5cff843014838822f001284e09936201	HMS Discovery
514357	La Thành Tây Đô
6d6ba1bbd46fada0cf960ffe13ae65de	Axit sulfuhydric
781835	Giờ mùa Hè Trung Âu
0d287a0769239364b92148f316d57c24	Danh sách núi
496177	Hòa ước Quý Mùi
323175	Pyeongchang
407758	Huy Thục
57666	Thế kỷ 2
801122	Carlos Montezuma
2439413	Frederick Townsend Ward
9bbbe34e0726b272671d70de5f4a6fc5	Al Muthanna
137480	Múi giờ miền Đông (Bắc Mỹ)
2eae050def9ba21b262ef14ba657f8cc	Danh sách trường phái triết học
15539cec7e148136349d081d734395a3	Arkansas River
e33392b9296e0960986371e61218c295	Tên hiệu hãng hàng không
20149	12 tháng 2
94133322f5885b463053353d2e81caae	Elements of the Philosophy of Right
353165	Ballet
446797	Giáo hoàng Anastasiô II
161897	Hứa Thận
7871bd340165ddc9d2b956ea688f5016	A Khắc Đôn
3139250	Bernardino Rivadavia
772472	Các lãnh thổ của Hoa Kỳ
127095	Astoria, Oregon
872470bdc4818af132efdafa85e74d9e	Books of Chronicles
8cec89af64aab50080e1a50fee715c13	Chẩn đoán y học
419807	Vua Campuchia
1264318	Anh em kết nghĩa
0a2bff0fd4bbb8e3b6526541eef17b7b	Cơ thể
0bea62b7a0386fc718e4951507bb4b18	Héctor Franco López
3353765	2090
22295	Cát kết
149423	Trận đồn Donelson
182782	Lịch sử Iran
e52ea76294b9e1649ebcebdb347688e0	Cucamonga Valley
531178	714
276170	Chúa Hiền
109543	Thể loại:Mất thế kỷ 18
529778	1346
3153405	Kinh (Phật giáo)
c3730b220b5215d4d2da7dbb0d966abe	Bernardo de Gálvez y Madrid, Bá tước Gálvez
40ff3b07af922caf1b220c41f381cfd3	Bir-Mourad-Raïs
2cdbd94a3cbf629af313149080544916	Trương Hoàng Ngôn
258855	Quốc lộ 39B
05c6c8a3e1fd9115b251452333592c7b	Caroline Jönsson
1251940	Quang Hưng, Ninh Giang
3309889	Tiếng Triều Tiên
530454	1476
530067	1159
1da6d0b835ccf17dc008495266cc00a9	ISO 3166-2:PT
107922	1936
20065	2 tháng 1
92d6297136ba7be5c4c03bf0466c832d	Trấn Bảo Sơn
3427379cf3e47a5ca294afa6af865f2a	Cao thân nhiệt
1646427	Báo cáo
0653efa3cf4318245fbbcc2c427a0acc	Thể loại:Sinh thập kỷ 120 TCN
ac54fde163663ab495d62c852e6fcdd5	Chính trị Barbados
49681	Mãn Thanh
2452938	Chi Ban
346593	Hideki Shirakawa
1eb2f4e42806c019471f9b1b0663f7c2	A. F. Pollard
40684	Jimmy Wales
1243506	Diễn Hoàng
821778	Gaeta
3284954	Nam Phương quân
1de2edbaa430975d339565684aeb0692	Ramón Freire
107949	1966
2416766	Chó săn
92725	Nitroglycerin
f87457610293edbd8660be012adbd463	Khoảng cách toàn vòng tròn
22637	Toronto
437651ba4ff0d5ffa604dcc4facbda4d	Zondervan
3684318	Chế độ tài phiệt
71089	Haute-Savoie
3389787	Aquileia
802754	Schwäbisch Gmünd
2444465	G.W.F. Hegel
801923	Thomas Kuhn
