907	25 tháng 3
20337	15 tháng 6
71531	Lyon
8f1a9f780780e7f5f080aeff3f55a2cd	Chủ nghĩa siêu việt
528455	1703
20406	18 tháng 7
529327	1699
8848d276bf245bcfb81717987aac159d	Chautauqua
20288	20 tháng 5
2459698	Aleksandr Mikhailovich Prokhorov
127646	ANZUS
590203	James II của Anh
20123	1 tháng 2
530502	1492
20452	9 tháng 8
301851	Liên minh châu Phi
24020	Thời điểm
392152	1825
528597	1700
234122	Lê Chiêu Thống
9a732af274510dd6ad0a438a5cfc16b6	Cochrane, Ontario
578323	Thập niên 1590
309abccc18efa351dc02f60e4bbe6772	Alfred Hampson
444407	Giáo hoàng Anaclêtô
3391959	Hệ phái Sunni
20116	28 tháng 1
66612	Burma
20267	8 tháng 5
6404	Danh sách người đoạt giải Nobel Vật lý
392245	1874
416940	Andrew Carnegie
530451	1474
96804	Camille Pissarro
6c9bca8df5d931691311fcbd633422ff	Algérie thuộc Pháp
528698	1711
3349641	2113
d5bf9ae9134b4fc31311f4f9b58e22c9	Bút Tháp
3677356	Chế độ nô lệ
530977	1380
735	Lý Thái Tổ
81a27ac9f3cbe29d7041db29fc62b706	Charles Hatchett
20369	30 tháng 6
103178	Ngân hàng Nhà nước Việt Nam
102681	Niels Henrik Abel
bdcb9610a0422e2f5505c0691ae041fb	Bùi Bá Cầu
20367	29 tháng 6
ff1fe165c32e9ec7f59e07d158914dfb	Năm thường bắt đầu vào thứ Năm
78838fc1a656dc1a5117c757389afd34	Ba Xắc
242398	Chiến tranh Mậu Thìn
20634	11 tháng 11
9a76ebfc9404f3056f9af3491322480e	Thập niên 1000 TCN
9eec2e9246355b35b9858a44dc8ed31c	Chu Hoằng Hoàn
3693496	Ban Chỉ đạo cải cách Tư pháp Trung ương Đảng Cộng sản Việt Nam
414002	Anderlecht
5cff843014838822f001284e09936201	HMS Discovery
1750311	Buddy Holly
388013	1841
b2f34ba0d2164ae40dab7d537978164a	Cheonmachong
531980	Mã Tân Di
529338	1675
1ce9576a561da65b0ebada5775fe9f4f	Công tước của Bedford
5aaf0568bc7346842bac0249b7d2ac1f	Hải quân Nhật Bản
307178	Chủ nghĩa vô chính phủ
186468	Cách mạng Tháng Hai
529159	1512
64195	Đế quốc thực dân Pháp
15247	Bảo Đại
801122	Carlos Montezuma
52676b952b931f5516828db019df8bfb	Chính Đại
2171	Hải Dương
0ce3c699b068e24d1ecbe0fb7a658682	Anh hùng
553029	Caritas Quốc tế
201436	1872
137480	Múi giờ miền Đông (Bắc Mỹ)
966	9 tháng 4
20621	5 tháng 11
20149	12 tháng 2
9a621d3b0ebab95a31459c288ede620d	Chỉ huy
308356	Hòa ước Giáp Thân
353165	Ballet
7010	Nam tiến
77984	Aldous Huxley
3139250	Bernardino Rivadavia
61711	Biển Hồ
20610	29 tháng 10
10111	Flute
90414	Ngoại giao
123038	Tiếng Indonesia
53772	Thể loại:Mất thập kỷ 1760
5664	Lịch
20678	13 tháng 12
65489	Tiếng Trung Quốc
152828	Astana
529253	1638
13055	Môi trường
43245	Can Lộc
03b5b7b10f0a24b4e475d25f2c73fb4f	Barnard E. Bee
3389218	George V của Anh
20386	8 tháng 7
529356	1688
809822	Hoàng Châu
20211949dd1854a2d3009a726942b40e	Phó Hằng
81435	Vịnh Xuân quyền
529359	1690
578645	Giao hưởng số 5 (Beethoven)
79fbba414f0ec9d9a4ed22efc5fb18da	23 tháng tám
20569	8 tháng 10
2860	Pháp
127621	Aruba
528304	Đại học Uppsala
3581275	Algarve
528919	1753
545842	Elizaveta của Nga
9c661e25a36120c333f3cc39ef60d650	Brest Arsenal
856	Nga
5126a42c8eda454257eddaaab092b06f	Bóng đá tại Thế vận hội trẻ
528038	Liên minh các Vương hầu
e8ae3c7cbfbdad54b4e3ddf55dcd26a7	Beno Blachut
20065	2 tháng 1
3556022	Ahmed Ben Bella
1503131	Cẩm Châu
bbd3fe6e243cee25c350fec4e6da897b	Lịch Darius
18604	Mùa hè
d504b83cf9437ebc2fb22e449ad08097	BIBSYS
f18d198f0326b384f54d25cbb96efdd8	Thể loại:Sinh năm 1862
49681	Mãn Thanh
173016	Lê Kính Tông
529561	1598
27360	Tân Dậu
528480	1704
29758	Miền Trung (Việt Nam)
529335	1674
115246	Walt Whitman
107945	1961
107949	1966
184495	Hưng An
201756	1773
183779	James I của Anh
107093	1941
392131	1815
106066	Frédéric Mistral
20454	10 tháng 8
68290	Napoli
20286	19 tháng 5
107932	1948
27216	Bà Triệu
20224	18 tháng 3
3fad9a86b40dd53d783bab5c0c1e942f	Chasseloup Laubat
529396	1605
3391960	Hệ phái Shia
a98e871825bc417009c9570e8f48db76	Babylon A.D.
360f5409c299be89fa3f1e900dd28505	Francisco Vega de Lamadrid
500426	Amazonas (tỉnh)
7795616	Ngô Sĩ Quý
528389	1707
71544	Amiens
15144	Châu Phi
529330	1670
20667	8 tháng 12
1680480	Sách Giảng Viên
392233	1866
9cf98dd9d8f70c2b374ef969201a218b	John Tecklenburg
104605	Gabriela Mistral
238134	Lý Tài
1599648	Lẽ Thông Thường
412b2c05d3793aa7f49c5a63eea9eb3c	Ali Pasha
19482	22 tháng 11
ebcc42b37e9aff31793d6899591a4e74	A Cổ
231810	1830
529863	1521
107919	1933
343551	Diệp Văn Kỳ
20110	25 tháng 1
20089	15 tháng 1
8948d8d074d2d6df09f4bb78a64d1cd8	Kiến tạo địa tầng học
294584	Algiers (tỉnh)
63467	1992
2451988	Alfred (Dvořák)
3521443	Cấu trúc
20657	3 tháng 12
f1effe3b51d392841b0b04f4ae32e3f7	Bài giảng đạo Vĩnh biệt
20189	2 tháng 3
10405	Thủ tướng
64025	Đế quốc Nga
529176	1541
93fad883c7defa5a04fee05d69f6f3d5	Thứ trưởng
228852	Hoàng đế Pháp
16173	Cà phê
5969	Hổ
578401	Thập niên 1020
799dded2ee7d99894a2a517d8a9ad30c	Lịch Bengal
33743	Hungary
71587	Auxerre
20180	26 tháng 2
449926	Giáo hoàng Anastasiô III
250787	Biển Bali
4708efff4b45cfed6d698c418609d264	Annibale Padovano
5e372e1757cf5588cb63a4faab6d19df	Bùi Thế Toại
3517a69a19eccb53495eb6a6937ce09a	Harold Bloom
213080	Darius III
7cbff88dd6c5d63c88ebbbbd971ad3c5	Thể loại:Thành lập thập kỷ 150 TCN
529202	1561
3292478	Trường Trung học phổ thông chuyên Lê Quý Đôn, Đà Nẵng
20548	28 tháng 9
23651	Gia phả
94f573024963b0cf0897be0fcffa2d2a	Lịch Ethiopia
375318	Hồ Chí Minh
529331	1671
97cfb0edd25626217eb4d740cebd7d7c	Albert Einstein trong văn hóa đại chúng
2360553	Aeneid
511391	Christoph Willibald Gluck
9bffed9c1d1ce2ffb94f0caac470016c	Thế kỷ 2 TCN4
1670493	Chuột nhà châu Á
27219	Nhà Lê sơ
40712	Indiana
528954	1792
20254	1 tháng 5
6cd9313ed34ef58bad3fdd504355e72c	2229
42984	Khâm định Việt sử Thông giám cương mục
528925	1759
8ee6f2cf70f399b82eb7c3f7824cf5d0	Quan sát Mặt Trăng
27907	Hans Christian Andersen
579275	Vải
544311	Lewis Henry Morgan
2468abd98faf2813bbfa4c0cca0736f2	Al Uqsur
18790	Mùa thu
578310	Thập niên 1690
6a54283b280abfbba67a41d4150a9f56	Biến thể
20600	25 tháng 10
194032	Gia tộc Tokugawa
ab622eb2f8f246983b7f922f247918f6	Châu thổ sông Yukon
20435	1 tháng 8
18759	15 tháng 11
529349	1684
392185	1845
816136	Como
09ef1725ac5c130e0b6fe2ab489b9158	Thể loại:Kiến trúc thập kỷ 1770
1405426	British Raj
55563	Đàng Trong
3268044	Bóng đá tại Đại hội Thể thao Liên châu Mỹ
68948	Barcelona
27789	Ludwig Mies van der Rohe
5298	Chúa Nguyễn
2be449156dbb1c3912b0d1e7aac8d4b9	Forest Hills, Queens
116460	Otto von Bismarck
1400484	Bengal
140232	Friedrich II của Phổ
27211963f7a7049e503292c540849058	Chúa Giêsu trong Kitô giáo
04c6e4bc11e06471a9fbc5353d478a77	Antwerp (province)
3135	Thái tử
cdf1e288ca02272e717c9d5e4cb180bd	2194
8ed4682c65483eb874efce4dae013cd2	Harold L. Klawans
86503d90d3fcbbca204049541490f9c0	Eduard Haken
3509795	Chen Ning Yang
529601	1566
41729	Dục Đức
794163	Bào Siêu
147538	David Hunter
294573	Adrar (tỉnh)
725	2003
3849	Đảng Cộng sản Việt Nam
27316	Kỷ Mão
812618	Bertram Brockhouse
529332	1672
102829	Bruxelles
20478	24 tháng 8
405858	Bộ Thương mại và Lao động Hoa Kỳ
89649	1963
24295	Mao Trạch Đông
31398e016ba237d21c275318013daf92	Friedrich Christoph Oetinger
1262495	Cuộc vây hãm Praha
797	Canada
16238	Giải Nobel Văn học
10200	Giám mục
3116460	Giáo sĩ
74212	2010
540964	252
80324	Thời kỳ Khai sáng
30010	Hưng Hóa (định hướng)
3dfacb64b58531b34f8463481fdb5bed	Arbroath
570853	Liên bang Bắc Đức
74089	Biển Caspi
20431	30 tháng 7
d5bf04a8a8ce58a58e6bbe1c58380e00	Sách Barúc
578432	Thập niên 1700
62140	Trần Quang Diệu
530829	2014
1532115	Clément Ader
98235d773aada208d90ac2a291a0cd70	Ishtar
27355	Bính Thìn
20257	3 tháng 5
329bb90aa8f5e9ded85470a252557bb7	Charles Cornwallis
20576	11 tháng 10
12500	Bản đồ học
53083	Thiên Tân
