63326	1995
4119	Cộng hòa Séc
107926	1940
1446540	2017
38772	Croatia
20301	27 tháng 5
589943	Giờ mùa hè Trung Âu
12486421	Hội đồng Hợp tác vùng Vịnh
492691	Độ nghiêng trục
20265	7 tháng 5
531752	500
1231	22 tháng 1
20305	29 tháng 5
107917	1931
943	4 tháng 4
94905	Khiết Đan
27316	Kỷ Mão
3388945	Lịch Iran
20263	6 tháng 5
60514	1944
3676101	Ab urbe condita
531778	518
2234940	Lưu Khiêm
3347505	2030
4543	ASEAN
794	26 tháng 1
20064	1 tháng 1
37279	Everest
99282	Nghệ An
317769	Biển San Hô
2160	30 tháng 4
20629	9 tháng 11
107939	1956
107890	1919
1279632	Thập niên 960
187103	Lê Ngọc Hân
10901492	Avengers: Infinity War
71455	Thế kỷ
531890	471
27328	Kỷ Sửu
530829	2014
94105	Đại học Oxford
20659	4 tháng 12
258487	Bắc Ngụy
119971	Ngô
530530	2013
20288	20 tháng 5
ead64131dd0c6578fe848645bdd65aac	Lịch Đông La Mã
37831	Lịch Gregorius
230616	Bầu cử tổng thống Hoa Kỳ, 2008
304713	ACF Fiorentina
2ebbdcf3beead04676fff7e45663c149	APEC Nhật Bản 2010
ab9048248965038b5f0f835e554afa61	Quốc lịch Ấn Độ
51341	Cơ quan An ninh Quốc gia
575797	Dayton, Ohio
96168	1925
17027	20 tháng 11
60513	1988
20615	2 tháng 11
63723	1984
57704	2007
3041d3482810e1413ffba68217ea0deb	André Botella
3227346	Big Bang (ban nhạc Hàn Quốc)
2bb6b123eb43c9032f74e9787027b872	Lịch Triều Tiên
20413	21 tháng 7
27353	Giáp Dần
77a6216658ea899abca9d33ca9770eba	Lịch Ấn Độ giáo
149736	Giáng thủy
107936	1952
1746351	Chiến dịch Praha
27343	Giáp Thìn
406263	Braunsbedra
26753	2001
38762	Azerbaijan
2419494	Bão Haiyan (2013)
144e712a2b9655cfd696aa03f10185a4	Danh sách quân chủ Serbia
20644	27 tháng 11
55136458990b35fda9f280aebaa51cd2	Lịch Bahá'í
24186	Khuông Việt
95498	Mân (Thập quốc)
63328	1993
234915	Lê Hiển Tông
20621	5 tháng 11
0f62e6b56fd3172f54712f2c21c65f4d	Tengyō
36702	Burkina Faso
915529	Giờ Trung Âu
3145807	Bahá'u'lláh
107933	1949
19110	18 tháng 11
540981	264
a70dcb4fc90bbe1fdb79399aeecae262	Isaac Slade
1279631	Thập niên 950
57660	Thế kỷ 6
152406	Beograd
107935	1951
12461	Bắc Kinh
8dfd5c66be64d51231c5307e2123a11a	7 tháng 5 năm 1954
532219	380
1279626	Thập niên 900
136948	Lưu Cung
531848	496
94f573024963b0cf0897be0fcffa2d2a	Lịch Ethiopia
107889	1918
20110	25 tháng 1
500045	Lê Văn Lan
90299	1965
63996	1976
1279579	Thập niên 430
105250	Cải cách ruộng đất tại Việt Nam
362339	Hải Phòng
63997	1974
1279635	Thập niên 990
725	2003
20702	24 tháng 12
731a54805aa697ff7b9b5c6dee54c1c8	APEC Hàn Quốc 1991
20309	31 tháng 5
531787	526
531884	477
ddaaa09410146c556c9cb85a71a0dabf	Lý Đằng
08efebb858591b59997ebad5fdcda170	Alphonse Juin
20062	25 tháng 11
27304	Kỷ Tỵ
20228	30 tháng 3
531867	494
20618	4 tháng 11
107886	1915
20269	9 tháng 5
137033	Nam Hán
90104	Kim Ngọc
5eb661e9492f6994d2caa4a8dc567cd5	Lĩnh Nam Đông đạo
312741	Chiến tranh Tây Ban Nha–Mỹ
1279578	Thập niên 410
530696	947
63725	1982
384353	Năm
32049	Adolf Hitler
144ec20b1c80b5f42285573bb470af23	APEC New Zealand 1999
29688	Ngô Sĩ Liên
530932	783
63470	1990
182961	Bram Stoker
541054	642
219164	Lãnh thổ Ủy thác Quần đảo Thái Bình Dương
20290	21 tháng 5
531894	467
1279628	Thập niên 920
63729	1979
37832	Lịch Gregorian
107093	1941
20657	3 tháng 12
3256624	Thể loại:Bảo trì CS1: Văn bản dư
531084	757
e5c930e0b10b6601286ce4df20bd76e0	Lý Lượng
aa5ff26fd9590ae171035a0fdf4b5b81	APEC Brunei 2000
408364	Thiên niên kỷ
27321	Giáp Thân
f047ac08a4d564b2b57efafff2eebcb6	Niên hiệu Anh
50a9d4b2ebf029222d247e7723a9de63	APEC Hoa Kỳ 2011
25821	Abraham Lincoln
20625	7 tháng 11
531885	476
142727	John McCain
2574	Xuân phân
20260	5 tháng 5
1279633	Thập niên 970
3137942	Nam Hán Thương Đế
19372	21 tháng 11
12330	Hậu Đường
9293397	Lịch Dân quốc
