109567	Gothic
530689	940
813827	Bác Lạc
4c30b0591dcb2f35e4cc7e39b0eea305	Phong tước hiệp sĩ
75003	Joule
dcd9deed42c4454118f79c81fc6518b0	Dân quân Virginia
d6e1facf9236f849dea2091246d189a2	Clive Allen
529398	1603
d907583f47db1143f8150a0dfd546dc1	A. J. Ayer
60754	Butan
91682	Helios
3426844	Nhà cách mạng
1426	Thiên văn học
529010	1618
39398	Chicago
e639f1a77cee6f7e6b6f9ba48c140130	BH Dani
20489	30 tháng 8
12470	Chiến tranh Triều Tiên
82fd600a33a8f344a9640c0b229052be	Citizen science
1446540	2017
107924	1938
63c050ff8e67b2ec3ac69a5138939641	Alfonso III của Leon
1b25783c89c25509df8e085b14128c03	Nguyễn Bằng Cử
2455994	Jean-Baptiste de la Salle
28615	.be
5bb615e07ee15133e28cd8065480bf2f	Chứng nhận tiền gửi
2416439	Hang Pác Bó
45a0ffe8f6373a2082d657ca914b3da9	Sự kiện
63482	1987
30cb5966915e984b0dd3dfc59bb9deb8	C. J. Sansom
326be77a9a71b4a5a926cc1130f00315	Ermitazh quốc gia
263693	1883
50875	Lịch La Mã
540856	114
444505	Giáo hoàng Clêmentê I
2422186	Týros
20071	8 tháng 1
663215	Napoleon Hill
40660	Chiến dịch Dynamo
540796	160
99542	.ht
ecb14032cf651457aece9274fabd244d	Cải tổ Liên Hiệp Quốc
20455	11 tháng 8
3514308	EXO-CBX
63974	1978
5c04201c9e1f0ee919476711389d7565	Mỡ lợn
3273610	Nature (tạp chí)
c3b2133b19d555359d140fe86d4ef702	Ngữ tộc Ấn-Iram
808953	Modi'in-Maccabim-Re'ut
1211702	Mai Trung
504587	Du lịch Hàn Quốc
541536	120 TCN
3272344	Dublin Castle
104850	Eugenio Montale
3372390	Danh sách các tổ chức Liên Hiệp Quốc theo vị trí
4af95170055e8b0a109e64b1c5dd1a25	Bồn địa Rio de la Plata
41c05fb2d691c514b67a55817b4dbe93	Chính trị Châu Mỹ
51404	Elie Wiesel
b6d36c9a0a76d638019a80ea481e7e67	Abraham Pais
104605	Gabriela Mistral
572a1b13417f3d8ce3926f6034887e74	Bảo tàng khảo cổ quốc gia Napoli
663772	Batanes
530116	1117
449858	Danh sách các sao gần nhất
146877	Lê Trung Tông (Hậu Lê)
530361	1402
0592bb4355c2a333472eafed3f1664b2	Antiarchi
45842	Chiang Mai (thành phố)
3277438	Kim Đấu Phụng
459809	Cuộc nổi dậy Lâm Sâm
3258476	Danh sách vua và nữ hoàng Anh
562510	Luiz Inacio Lula da Silva
2b48b6997f7f767aa1927bb66d66071a	Kính viễn vọng rất lớn
239961	Brussel
67533	Trung ương Cục miền Nam
20065	2 tháng 1
785d3902dbe948add60be62b38417870	Ludwig das Kind
529863	1521
813653	Cabinda (tỉnh)
97f9227205b7d5e503e493407ff4b8ed	Der Fall Wagner
333397	Diệp Vấn
3152229	Cải cách Kháng Cách
530871	873
c49a4bcd71298c48cd7995cfafc7397c	Hiến pháp Hợp chủng quốc Hoa Kỳ
805299	Dawn (tàu không gian)
397901	Juche
529921	1256
d80d946a45ae48b1b7e4ad6846d43990	Học viện Không quân Zukovski
9de5ebe82a096906cb783879d9dd145e	Lịch Attica
540705	221
3532765	Nguyễn Cấu
3665114	Jasper Cillessen
530320	1036
522450	Trận Burkersdorf
253632	Ali bin Abu Talib
35e2235121ee9c77cfdf0d274dde72cc	Boqueró
