d141a47ca817d36f480dd5f5d953ca1f	A. W. Ward
7c9440e10716d369554c9e59f2f76479	Språkrådet
fecdc1fee23a5ddc7785081faef8d1b6	Fujiwara no Tadabumi
813827	Bác Lạc
d6e1facf9236f849dea2091246d189a2	Clive Allen
2423546	Bell X-14
454847	Giáo hoàng Nicôla IV
60754	Butan
572a1b13417f3d8ce3926f6034887e74	Bảo tàng khảo cổ quốc gia Napoli
3426844	Nhà cách mạng
1426	Thiên văn học
529010	1618
12470	Chiến tranh Triều Tiên
407465	Donatello
1b25783c89c25509df8e085b14128c03	Nguyễn Bằng Cử
bb6eac024fba01318d19dc413cee3748	Dieter Hoeneß
24014	Thế kỷ 19
18f5b1584eac339e672c4b8c56f6fe88	Bunna
03624d0ae485a6351e3c2854144326d4	Nhóm ngôn ngữ Tây Iran
5e96e478ec2733a7cc08b6c9bbe18fa9	Ampelum
c68876019c748949bae879a221df9f50	Nguyễn Trọng Hồng (Đại tá VNCH)
63482	1987
35893918b7d4bff92818176187d30161	Huân chương công trạng
263693	1883
50875	Lịch La Mã
444505	Giáo hoàng Clêmentê I
e3f1f1c71a085d0905da7be45e27260d	2014–15 A.F.C. Bournemouth season
007da797b599e0628f018a73e84e8f16	Vytautas the Great
20071	8 tháng 1
663215	Napoleon Hill
10171	Đế quốc Anh
52562702e65adc305ea3f4b2e611157a	Bắc Bukovina
540796	160
99542	.ht
2151e6d5d6588c4d90195d93e703406e	Clymene (thần thoại)
74178	Albert Sabin
61316	Nữ Chân
63974	1978
fdcf642c350e07ececd04b6056db9e3c	Danh sách quốc vương Napoli
79ca79671f1b0f827167b8ccfc1b9026	Hiệp ước Rome
138873	Lưu Nghiễm
1339897	Arminius
3272344	Dublin Castle
104850	Eugenio Montale
3372390	Danh sách các tổ chức Liên Hiệp Quốc theo vị trí
1762704	Thể loại:Mất thế kỷ 7
4af95170055e8b0a109e64b1c5dd1a25	Bồn địa Rio de la Plata
f7141fc6dcc82b74f0fbbd08d85d3805	Đài quan sát Hải quân Mỹ
b6d36c9a0a76d638019a80ea481e7e67	Abraham Pais
313711	Dozza
663772	Batanes
530116	1117
449858	Danh sách các sao gần nhất
9bd70a8c5b726bb4f522a8c1ac25c1d1	Edward Frankland
3665414	Pashto
0592bb4355c2a333472eafed3f1664b2	Antiarchi
234915	Lê Hiển Tông
92fb36de83c41ec5606e1832bf62c43d	Békés County
562510	Luiz Inacio Lula da Silva
455844	Giáo hoàng Clêmentê XIII
239961	Brussel
67533	Trung ương Cục miền Nam
293bea3ecc1f074371743381959d9123	Thần thoại Ấn Độ
785d3902dbe948add60be62b38417870	Ludwig das Kind
3999629f4cf9d12695c6bd64111de076	Phá Đại doanh Giang Nam lần thứ hai
5356329ae3a15fbd9fea28fc22be97ae	Cnaeus Claudius Severus Arabianus
c98fa77cf43c91db18d76401680edb70	Kết cấu
2506	Danh sách người đoạt giải Nobel
c49a4bcd71298c48cd7995cfafc7397c	Hiến pháp Hợp chủng quốc Hoa Kỳ
805299	Dawn (tàu không gian)
107932	1948
52fa6fd754d674dbb4c5659ef4204740	Kiểu điểm dân cư tại Nga
2437245	Bàng Huân
069affd364f15806d4ff9f6ef3d06ac8	2013 WTA Tour
540705	221
8c0d01fe8da4c54e975c4e4aa482a11f	Mã kiểm soát Thư viện Quốc hội
0125fd45af37bd502f2a1654355b47f8	Chiến dịch Bến Cát II
522450	Trận Burkersdorf
5a3617ac72d32e44e0202844de3262c8	Antinomy
139553	Martin Van Buren
414002	Anderlecht
c54192a3473295749df9e7e8f9f7e8dd	Chiến tranh Anh-Thụy Điển (1810-1812)
d5c65fe076f8ad89862cca271e7a8153	Carlton House Terrace
344094	Tách giãn đáy đại dương
802600	Khiếm thính
a811d0848ada1c86a5c3955f1a4e3a24	Sura
c563decf332bbd501857ed82f6f27eec	Abakuá
138208457492bda306f27ef5e46b13cf	Beethoven Frieze
b043df73d83f339c7fe24dd8faa2ec8d	Arnolt Schlick
4b5bfd444ce383017d79c6d793363998	Angang-eup
437756	Bismarck (thiết giáp hạm Đức)
61c2b25571fcf1bbe85cde5ec4cddb9c	Thể loại:Kiến trúc thập kỷ 670
bdd36f34a5c1ff5bcea92481e2cbf42d	Asparukh của Bulgaria
509367	Cổ Loa (định hướng)
ef21226dd99696f67a8650536c121a7e	Gia-Vê
bd1619f766ea73cb17d3c3086f763ed5	Hiệp ước liên minh
1613751	Dharma
20604	26 tháng 10
1667792	Chân Nguyên
fcbff2e42f2f8579abb3d0026b9f0de0	Adolf Hitler's bodyguard
530391	1425
6533975	Charles Lyell
0fd7dd86de242d7d12575f7cb870d846	ISO/IEC 15693
41987	Lễ Phật Đản
3191333	Maclurochloa
aa30aa4d55d03d986741b6f5c9f748b0	Các lãnh tụ tôn giáo Islam
42833	Allianz Arena
74fa94efd58852f82945891d2a6ff716	Avex
315572	Lư Quán
c9da9b6f00a482d424b25bdf56490362	Alveolar approximant
d289cec540a23377878c6bca4034ac12	Adolf Hitler's 50th birthday
4055	Ngôn ngữ học
e215096bc9c71cc36fee14739bf6a7b9	Các khía cạnh chính trị của Islam
3211157	Sulla
ecdb7c20cf6fbb79d48fd9004017e195	Các dân tộc trong lịch sử Trung Quốc
120294	Gerhart Hauptmann
107894	1923
21a52fcb35ae62049ab54880411ddcc2	Bolesław Bierut
2160	30 tháng 4
1439689	Bắc Ngụy Hiếu Minh Đế
9f4958086fb83ef24dfc1946a25c5e57	Walter de Burgh, bá tước thứ nhất Ulster
41164	Bazooka
632989	Activision
76aa7a7fb680a4a69e36265b2d238534	Kỹ thuật môi trường
96e771b01f236c18b99c2e56dbbc804d	Đập Yacyretá Dam
4369362575f9667f4a8f5ca78bcf6d07	Chu Bảo Quyền
33374	Cao Xuân Dục
3222572	Nhĩ Chu Ngạn Bá
3177924	Bí thư Tỉnh ủy (Việt Nam)
291875	Abu Bakr
94e322d002e92ef1de87195d122dd609	1908 Democratic National Convention
1313140	Eurocopter Dauphin
3aa6635d9db38cca0c465db9230f4dca	Heinrich VI (đế quốc La Mã Thần thánh)
97772	.cn
9975f49b5cbafe1aba91535dca781c72	Australian Government
831200	8½
530826	853
530229	1081
11000	Bồ-đề-đạt-ma
1752242	Bán đảo Nicoya
402c35374592cd24d9df0e85a6052132	Henry I của Hesse
531163	702
d8f90550ce804c0231cbf64efc098266	Chính sách Thương mại quốc tế
2416661	Bão Lekima (2013)
6675a87d73874253b44e464412f0e8d8	Hugh của Pháp (1007-1025)
43224d57d5842f107d142d53b7b3fca5	Alejandro Dominguez
bb5fe423e99fcc96391508c9e80db033	Kiểm soát thư mục
48387	Eisenhower
53015	Châu Hải
134201	Trung úy
c26220c4081a6e95accc44939e49feeb	Five by Five (EP của The Rolling Stones)
4307f269cb586583ca7e6b9419206bc1	Catiline Orations
