7c9440e10716d369554c9e59f2f76479	Språkrådet
fecdc1fee23a5ddc7785081faef8d1b6	Fujiwara no Tadabumi
0c4608d7a1345bbde2c901f35934169b	Cộng hòa Dân chủ
79ca79671f1b0f827167b8ccfc1b9026	Hiệp ước Rome
1426	Thiên văn học
529010	1618
e93ad0dca04c275e172cb5aa5b1deac3	Libeccio
191432	Khánh Dương
6959b0ae6b4fe85eb25889cc3c139b9f	Bạo loạn Sơn Hà
fcbff2e42f2f8579abb3d0026b9f0de0	Adolf Hitler's bodyguard
18f5b1584eac339e672c4b8c56f6fe88	Bunna
d8ac89a8fffcdbf54355a5e1ea8c5e83	A Farewell to Arms (1957 film)
ba3031cc27a7d2db48cd022635f2dd13	Zhang Zili
8184a24aa653dfe42eef6ed07f515e81	Bùi Thị Noan
12b5411e7a8d0f93d267f7de391cf172	Entry of the Crusaders in Constantinople
663215	Napoleon Hill
61154	Sân bay quốc tế Pakse
10171	Đế quốc Anh
855e4d2a2af6a47b0bb46d2dd67a5ab6	Harry Redknapp
52562702e65adc305ea3f4b2e611157a	Bắc Bukovina
540796	160
fb9863f76c4094f6527a3620472e3fa2	Andagoya
578389	Thập niên 1130
ec84db26d78a5dd643436814589c2751	Argumentation theory
fdcf642c350e07ececd04b6056db9e3c	Danh sách quốc vương Napoli
15373	Chiến tranh biên giới Việt–Trung 1979
ec32268c2413edd4131849d16c045138	St Lawrence Jewry
7ccc9b30a4d768635d19903d9291c61a	Chiếu chỉ Thessalonica
3372390	Danh sách các tổ chức Liên Hiệp Quốc theo vị trí
139343	Ban Tôn giáo Chính phủ Việt Nam
638ab1a1e4b7a97203de30b2a00a1c0c	Heat burst
a9efaff88610a070f9367ad5e02b73b7	St. Martin‘s Press
11252	Quảng Bình
145890	Henri IV của Pháp
e078eef383f10812054595e15f2239f3	Chornobay (huyện)
530116	1117
44357	Đại Tân sinh
234915	Lê Hiển Tông
85372	Boeing B-29 Superfortress
b710575cac1f9edb49a726175fd59db8	23B
3246483	Hà Lan Tây Ban Nha
67533	Trung ương Cục miền Nam
817025	Camaiore
48401	Số nguyên tố
22a12aa9087a59a42c6af171e413321c	Dictionary of National Biography
c98fa77cf43c91db18d76401680edb70	Kết cấu
107932	1948
255135	Binh đoàn Quyết thắng
dae305227a63c5b163b1170364542f24	Geomatics
f704bc59822f014bede790bed3d1880f	Datii
8c0d01fe8da4c54e975c4e4aa482a11f	Mã kiểm soát Thư viện Quốc hội
1683805	Xứ hải ngoại của Pháp
227702	Nguyễn Khắc Niêm
33ae442904012c55d0bdc226950448fc	Bộ binh Cơ giới, Quân đội nhân dân Việt Nam
93278e48affcb2ea832b967e82518eb8	Các chỉ thị cơ bản ở Connecticut
d320e912627c69e5b10ffd1a95ca5555	Bao vây Nà Sản
1e62244bfe184f516fb26f00af13168c	Washington, Kentucky
1777204	Amber Liu (ca sĩ)
d5c65fe076f8ad89862cca271e7a8153	Carlton House Terrace
3b628092480937f8c009457f6ff74bc2	John Nance Garner
c563decf332bbd501857ed82f6f27eec	Abakuá
138208457492bda306f27ef5e46b13cf	Beethoven Frieze
61c2b25571fcf1bbe85cde5ec4cddb9c	Thể loại:Kiến trúc thập kỷ 670
3247262	Thập niên 2040
1678921	Balaenoptera omurai
771b4fcd5c2920e1e5ee53136d114bb8	Kurier Warszawski
843804	Avianca
20574	10 tháng 10
c26af078fbe8a486ccfc62a3c2ad7cbf	Jewel (ca sĩ)
5cf5c800a226ea62b290a8cbc87ba7a4	Karl XV của Thụy Điển
5738f9bad799c58bcd765d1ba6cf32ce	Xoáy thuận ngoại nhiệt đới
83514	Yên Dũng
c525b63f7a4009f88c3c312218b7926e	Danh sách các từ luật viết tắt
9094d81a79224b4bb7ac6989d508d05c	Kondō Shūsuke
3234331	Hoàng Văn Đồng
82785	Đồ họa máy tính
c9da9b6f00a482d424b25bdf56490362	Alveolar approximant
4055	Ngôn ngữ học
94328	Haifa
3513777	Lê dương Pháp
455578	Giáo hoàng Grêgôriô XIII
407644	Hathor
8364eaa9801d801c6b0af0309eae9d64	Bộ Lao động Thương binh Xã hội Việt Nam
9f4958086fb83ef24dfc1946a25c5e57	Walter de Burgh, bá tước thứ nhất Ulster
aa777686288ee4bec16f75aa22ebd651	Biển Seito Naikai
c6858fbd4027f2b1b1af35fe2c631a53	Lịch sử khoa học cổ đại
793838	Chiến dịch An Lão
1a8bc62c9a9db543f895409e7557cfb9	Bùi Thị Bút
423201	Beauregard-l'Évêque
9975f49b5cbafe1aba91535dca781c72	Australian Government
512057	Đảo chính Việt Nam Cộng hòa 1963
402c35374592cd24d9df0e85a6052132	Henry I của Hesse
3624972	(15760) 1992 QB1
d8f90550ce804c0231cbf64efc098266	Chính sách Thương mại quốc tế
404807	Cao nguyên Kon Tum
43224d57d5842f107d142d53b7b3fca5	Alejandro Dominguez
a2945fd7a64503acb6904d3123f55e62	Chữ số Javan
e2289d29ffcbc233dee0532d628a85a1	Richard LaGravenese
4644acf750588bcbb9fa618b45352d21	Arbergen
133854	Du lịch Đắk Lắk
483563	484 Pittsburghia
078a6e9dbad703f0df4b44b448f17c1f	Nguyễn Triệu Hồng (Trung tá, Quân lực VNCH)
f801abe493b8795deba2a65dace5cbba	Ivan Ignatyevich Yakubovsky
20125	2 tháng 2
b9786f137740ae024e7ab61a98ea1d9e	A3 (Croatia)
324991	Giải Quả cầu vàng cho nam diễn viên phim chính kịch xuất sắc nhất
91877	Nguyễn Phúc Thái
e03d72c36647076008deaab269085dfd	1st Marine Expeditionary Force
96878	Không lực Việt Nam Cộng hòa
568870	Quận Blaine, Idaho
47528	Thế kỷ 11
ad58a9a187f3bee04a963c3370049cca	Bể chứa dầu
8bfc647cbd20175dde1344ee33b2b327	August Bebel
102604	Anh hùng Liên bang Xô viết
258981	Crotone (tỉnh)
37b34c9ebf620a31d3f21f91744cabfc	Chuyển gen ngang
78db3b13e2310aca7a38c84f92b0bd2f	Dido (thần thoại)
f612f77fe33257ae5f93678abca7e9f5	Andrew Viterbi
2412591	Adrien-Paul Balny d'Avricourt
2452456	Bóng đá tại Đại hội Thể thao châu Á 1954
288640	Lớp phủ (địa chất)
115	Lý Thường Kiệt
f536ab8a1362d65efad50040ee99a27e	Giải thưởng Balzan
214737	Hôn nhân đồng tính
1f9e3337e72121a321a18ccfddb1cb86	Aedi
b68bdbe66140d201aecff90ec428f97b	Huyện Tống Sơn
01a6604498410d82f4ff65968f9d2e93	A Boy
841804	Khắc hãn
3e14825c3ef33eff84b61ebb8e4cc815	Johann Adoplph Hasse
bdccaf1f51d0568c49564bc86131caf8	Giải Giller
369248	Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Hà Nội
3642019	Đế quốc Đại Seljuk
8bc64da3c285cc5f5bb7f2a6084c1923	Thiết kế bậc cao
e69363b3585919cfe903f62accc73318	20 tháng ba
a30366be62fe0873aaab5a09d5d591e3	Brave and Bold
42735	Địa lý tự nhiên
3537730	Thiên hoàng Kōgon
2359103	Club Atlético River Plate
d37108b347baaf20e150c7cd0f142e82	Chiến tranh Nga-Thổ Nhĩ Kỳ (1787–1792)
400486	Kính Tông
7b9ee4217fa0b7c9737e984d4e53d7ef	Chính nghĩa
b646cfe7740df1ea7251fb9974450221	Bảo tàng mỹ thuật Philadelphia
1297826	Barbuda
119285	Isaac Bashevis Singer
ce1df8c6f55d5d6de859ccadaeda5519	Sigerus của Brabant
68effb0550de21114adf8ed12f04241c	Lê Bình (nghệ sĩ)
